Ni_frac,Fe_frac,Co_frac,Mo_frac,Cu_frac,Mn_frac,Cr_frac,V_frac
0.4,0.0,0.6,0.0,0.0,0.0,0.0,0.0
0.4,0.1,0.5,0.0,0.0,0.0,0.0,0.0
0.4,0.2,0.4,0.0,0.0,0.0,0.0,0.0
0.4,0.3,0.3,0.0,0.0,0.0,0.0,0.0
0.4,0.4,0.2,0.0,0.0,0.0,0.0,0.0
0.4,0.5,0.1,0.0,0.0,0.0,0.0,0.0
0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
0.5,0.1,0.4,0.0,0.0,0.0,0.0,0.0
0.5,0.2,0.3,0.0,0.0,0.0,0.0,0.0
0.5,0.3,0.2,0.0,0.0,0.0,0.0,0.0
0.5,0.4,0.1,0.0,0.0,0.0,0.0,0.0
0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
0.6,0.0,0.4,0.0,0.0,0.0,0.0,0.0
0.6,0.1,0.3,0.0,0.0,0.0,0.0,0.0
0.6,0.2,0.2,0.0,0.0,0.0,0.0,0.0
0.6,0.3,0.1,0.0,0.0,0.0,0.0,0.0
0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0
0.7,0.0,0.3,0.0,0.0,0.0,0.0,0.0
0.7,0.1,0.2,0.0,0.0,0.0,0.0,0.0
0.7,0.2,0.1,0.0,0.0,0.0,0.0,0.0
0.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0
0.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0
0.8,0.1,0.1,0.0,0.0,0.0,0.0,0.0
0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0
