Ni_frac,Fe_frac,Co_frac,Mo_frac,Cu_frac,Mn_frac,Cr_frac,V_frac,EN_mean,EN_std,EN_var,EN_mismatch,Radius_mean,Radius_std,Radius_var,Radius_mismatch,VEC,VEC_mismatch,d_band_proxy,mix_entropy,Predicted_DeltaG_H
0.4,0.1,0.5,0.0,0.0,0.0,0.0,0.0,1.887,0.023685438564653993,0.0005609999999999986,0.05699999999999994,125.30000000000001,2.2825424421026654,5.21,6.699999999999989,9.3,6.0,7.300000000000001,0.9433483923290393,-0.08740000000000021
0.4,0.2,0.4,0.0,0.0,0.0,0.0,0.0,1.8820000000000001,0.029257477676655534,0.000855999999999997,0.052000000000000046,126.0,3.0331501776206204,9.200000000000001,6.0,9.2,6.0,7.200000000000001,1.0549201679861442,-0.09173333333333353
0.5,0.1,0.4,0.0,0.0,0.0,0.0,0.0,1.89,0.02449489742783175,0.0005999999999999985,0.05999999999999983,125.2,2.315167380558045,5.359999999999999,6.799999999999997,9.4,6.0,7.4,0.9433483923290392,-0.08701666666666687
0.5,0.2,0.3,0.0,0.0,0.0,0.0,0.0,1.8849999999999998,0.030413812651491047,0.0009249999999999968,0.054999999999999716,125.9,3.0805843601498726,9.49,6.099999999999994,9.299999999999999,6.0,7.300000000000001,1.0296530140645737,-0.09153333333333347
0.6,0.1,0.3,0.0,0.0,0.0,0.0,0.0,1.8929999999999998,0.02491987158875419,0.0006209999999999983,0.06299999999999972,125.1,2.3430749027719964,5.49,6.900000000000006,9.5,6.0,7.5,0.8979457248567798,-0.08748333333333355
0.6,0.2,0.2,0.0,0.0,0.0,0.0,0.0,1.888,0.031240998703626562,0.0009759999999999965,0.05799999999999983,125.8,3.1240998703626617,9.76,6.200000000000003,9.4,6.0,7.4,0.9502705392332347,-0.08513333333333349
0.7,0.1,0.2,0.0,0.0,0.0,0.0,0.0,1.896,0.024979991993593555,0.0006239999999999981,0.06599999999999984,125.0,2.3664319132398464,5.6000000000000005,7.0,9.6,6.0,7.6,0.8018185525433373,-0.0814500000000002
0.7,0.2,0.1,0.0,0.0,0.0,0.0,0.0,1.891,0.03176476034853713,0.0010089999999999967,0.06099999999999994,125.70000000000002,3.1638584039112754,10.010000000000002,6.299999999999983,9.500000000000002,6.0,7.500000000000001,0.8018185525433372,-0.08455000000000015
0.8,0.1,0.1,0.0,0.0,0.0,0.0,0.0,1.899,0.024677925358506093,0.0006089999999999981,0.06899999999999995,124.9,2.3853720883753127,5.69,7.099999999999994,9.700000000000001,6.0,7.7,0.639031859650177,-0.08120000000000016
0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.8940000000000001,0.03199999999999994,0.0010239999999999963,0.06400000000000006,125.60000000000001,3.2,10.24,6.3999999999999915,9.6,6.0,7.6000000000000005,0.5004024235381879,-0.08490000000000014
